Name (ID) Qualification,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,May,
,,01,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,
,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,
,"Abbott, Donna  (560447) D, MAXPAY, Ops, S",13,C2,13,C2,13,C2,13,C2,13,C10,13,C10,13,C10,13,C10,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,C2,13,C2,13,C2,13,C2,13,C10,13,C10,13,C10,13,RCO,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,C2,13,C2
,,,,,,L,V,L,V,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Abdalla, Sami  (297351) D",13,,13,,OFF,,OFF,,OFF,,13,44,13,46,13,30,13,17,OFF,,13,14,13,36,13,45,13,45,13,30,13,93,OFF,,05,32,05,42,13,09,13,17,13,26,13,41,21,13,21,15,OFF,,13,31,13,39,13,45,13,38,OFF,
,,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Abdelrahim, Ahmad  (211005) D",21,35,21,35,21,35,21,35,21,35,21,35,21,35,21,35,21,44,OFF,,21,35,21,35,21,35,21,35,21,35,21,35,21,35,21,35,21,35,21,35,21,35,21,35,21,35,OFF,,21,04,OFF,,OFF,,21,11,21,11,21,35,21,35
,"Acevedo, Starlin  (241218) D",OFF,,OFF,,05,21,05,21,05,21,05,21,05,34,05,39,OFF,,05,25,OFF,,OFF,,05,25,05,21,05,44,05,27,OFF,,05,21,05,21,05,21,05,21,OFF,,05,06,05,08,05,25,05,25,05,25,05,25,13,98,OFF,,05,28
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Adams, Alexander  (745185) D, E, MAXX, Ops",21,C1,OFF,,OFF,,OFF,,21,C7,21,C7,21,C7,21,C7,OFF,,OFF,,OFF,,OFF,,21,C7,21,C7,21,C7,21,C6,OFF,,OFF,,OFF,,21,C7,21,C7,21,C7,21,C7,OFF,,OFF,,OFF,,OFF,,21,C7,21,C7,21,C7,21,C7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,
,"Adams, Franco  (597149) A, D, E, L, MAXPAY, Ops, P",13,C10,13,C10,13,C11,13,C11,13,A3,13,A6,13,A5,13,A2,13,C10,21,C7,21,C6,OFF,,OFF,,OFF,,OFF,,OFF,,13,A4,13,C11,13,C11,13,A2,13,A4,13,C3,13,A6,13,RC2,OFF,,13,A5,21,C1,OFF,,13,C8,06,36,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Adragna, Luciano  (273907) D, E, L",OFF,,OFF,,OFF,,05,34,05,34,05,34,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,93,05,17,OFF,,05,34,05,35,05,OJT,05,OJT,OFF,,05,17,13,OJT,OFF,,13,OJT,13,34,13,34,13,37,13,08
,"Aguirre, Herbert  (165098) D, L, MAX",13,79,13,79,13,79,OFF,,OFF,,OFF,,OFF,,13,60,13,60,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,79,13,79,13,79,OFF,,OFF,,OFF,,13,38,13,60,13,60,OFF,,OFF,,OFF,,OFF,,OFF,,13,79,13,79
,"Alden, Tashi  (700179) D, L, Ops",13,RCO,13,80,13,C7,13,C2,13,81,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,C6,13,76,13,03,13,C1,13,74,13,C7,13,74,13,RC2,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,79,13,73,13,03
,"Alikhan, Mir   (444974) D, L",05,38,05,41,05,04,05,89,05,61,05,82,05,26,05,25,05,46,05,63,05,77,05,26,05,41,OFF,,OFF,,OFF,,05,33,05,04,05,04,05,04,05,04,05,24,05,16,05,11,05,09,05,27,05,08,05,94,05,RC2,05,10,05,10
,,,,,,,,,,,,,,,,,,,,,,,,L,P,,,,,,,,,,,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,47,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
Name (ID) Qualification,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,May,
,,01,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,
,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,
,"Allen, Scott  (369405) A, D, E, J, MAXPAY, R",05,A2,05,A2,05,A2,14,34,OFF,,OFF,,OFF,,05,A2,05,A2,05,A2,05,A2,05,R1,OFF,,OFF,,OFF,,05,A2,05,A2,13,A2,05,A2,OFF,,OFF,,05,A1,05,A2,05,A2,05,A2,05,A2,05,A3,OFF,,OFF,,OFF,,05,A2
,,,,,,,,,,,,,,,,,,,,,,L,e,,,,,,,,,L,A,L,A,,,L,e,,,,,,,,,L,A,L,e,L,e,,,,,,,,,L,A
,,OFF,,OFF,,OFF,,05,A2,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,A2,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,L,e,,,,,,,,,,,,,,,,,,,,,,,,,,,L,e,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Anderson, Joshua  (613164) A, D, L, MAXPAY, S",OFF,,05,S1,05,S1,05,S1,05,S1,OFF,,OFF,,OFF,,05,S1,05,S1,05,S1,05,S1,OFF,,OFF,,05,A2,OFF,,05,S1,05,S1,05,S1,05,S1,OFF,,OFF,,OFF,,05,S1,05,S1,05,S1,05,S1,05,A2,OFF,,OFF,,OFF,
,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Anderson, Ronnie  (233165) D, P",05,RCP,05,18,05,18,OFF,,OFF,,OFF,,OFF,,05,19,05,35,05,19,05,19,OFF,,OFF,,OFF,,05,18,05,18,05,18,05,55,OFF,,OFF,,OFF,,OFF,,05,19,05,19,05,53,05,19,05,11,OFF,,OFF,,05,18,05,RC2
,"Andrews, Caroline  (746508) D",05,40,05,21,05,38,OFF,,OFF,,05,40,OFF,,05,47,05,93,05,26,OFF,,OFF,,OFF,,OFF,,OFF,,05,44,05,46,05,18,05,40,OFF,,OFF,,05,43,05,,05,,OFF,,OFF,,OFF,,05,,05,,05,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,S,L,S,,,,,L,p,L,p,L,p,,,,,,,L,p,L,p,L,p,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,44,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Andries, Chad  (773581) D, L, P",21,66,21,66,21,23,21,66,OFF,,OFF,,OFF,,21,66,21,66,21,66,21,66,OFF,,OFF,,OFF,,21,46,21,66,21,66,21,66,21,66,OFF,,OFF,,OFF,,21,RCP,21,66,21,66,21,66,21,64,OFF,,21,68,OFF,,21,66
,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,R,L,R,,,,,,,,,,,,,,,,,,,,,,,,
,"Archer III, Joe  (507286) D, L, MAX",13,60,13,60,13,60,OFF,,OFF,,OFF,,05,60,05,60,05,60,05,60,OFF,,OFF,,13,13,OFF,,13,60,13,60,13,60,13,60,05,75,OFF,,OFF,,05,60,05,60,05,60,05,60,OFF,,OFF,,OFF,,OFF,,OFF,,13,60
,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,
,"Arde, Chris  (237682) D, L",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,26,13,74,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,35,05,35,05,37,OFF,,05,41,05,34,05,31,05,31,05,31,OFF,,05,44
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,22,24,OFF,,OFF,
,"Arena, Joe  (13922) D, L, MAX",OFF,,OFF,,13,63,13,63,13,63,13,63,OFF,,OFF,,OFF,,13,63,13,63,13,63,13,63,13,63,OFF,,OFF,,13,78,13,63,13,63,13,63,13,63,13,60,13,19,OFF,,13,79,13,63,13,63,13,63,13,RC2,13,61,OFF,
,"Au, Maine  (224236) D, E, P",21,64,OFF,,OFF,,21,55,21,55,21,54,OFF,,OFF,,OFF,,21,55,21,55,21,55,OFF,,21,58,21,53,21,53,21,RCP,OFF,,21,55,21,55,OFF,,OFF,,OFF,,OFF,,21,55,21,55,21,55,21,55,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,w,,,,,,
